playerName,Age,gamesPlayed,gamesStarted,minutesPG,fieldGoal,fgAttempt,fgPer,three,threeptAttempt,threePer,twoPoint,twoPointAtt,twoPer,effFG,FT,FTA,ftPer,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,38,16,16,38.7,9.2,18.4,0.498,1.8,6.6,0.264,7.4,11.8,0.63,0.546,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5
Anthony Davis,29,16,16,38,8.3,15.9,0.52,0.3,0.9,0.333,7.9,14.9,0.531,0.53,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6
Austin Reaves,24,16,16,36.2,5.6,12.1,0.464,2.4,5.5,0.443,3.2,6.6,0.481,0.564,3.2,3.6,0.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,16.9
D'Angelo Russell,26,16,15,29.6,5.2,12.2,0.426,1.7,5.4,0.31,3.5,6.8,0.519,0.495,1.3,1.6,0.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2,13.3
Dennis Schröder,29,16,3,26.1,2.6,6.4,0.398,0.8,2.4,0.333,1.8,4,0.438,0.461,1.4,1.8,0.821,0.2,1.8,1.9,2.9,1,0.2,1.3,2.5,7.4
Rui Hachimura,24,16,1,24.3,4.6,8.2,0.557,1.2,2.4,0.487,3.4,5.8,0.587,0.63,1.9,2.1,0.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6,12.2
Jarred Vanderbilt,23,15,13,16.5,1.6,4,0.4,0.5,1.9,0.241,1.1,2.1,0.548,0.458,0.9,1.3,0.7,1.3,1.9,3.2,0.8,0.7,0.8,0.9,2.1,4.6
Lonnie Walker IV,24,13,0,13.8,2.2,4.6,0.483,1,2.6,0.382,1.2,2,0.615,0.592,0.7,0.9,0.75,0.1,0.8,0.9,0.8,0.5,0.1,0.3,1.2,6.2
Troy Brown Jr.,23,12,0,10.3,0.8,2.3,0.357,0.2,1.3,0.133,0.7,1.1,0.615,0.393,0,0,,0.3,1.7,2,0.9,0.2,0.1,0,0.3,1.8
Malik Beasley,26,11,0,8.3,0.9,3.1,0.294,0.6,2.4,0.269,0.3,0.7,0.375,0.397,0.5,0.5,1,0.3,0.5,0.7,0.2,0.1,0,0.2,0.5,3
Tristan Thompson,31,6,0,5.3,0.8,1.8,0.455,0,0,,0.8,1.8,0.455,0.455,0.2,0.8,0.2,0.7,1,1.7,0.3,0,0,0.2,0.2,1.8
Max Christie,19,9,0,3.7,0.6,1.1,0.5,0.1,0.4,0.25,0.4,0.7,0.667,0.55,0.2,0.4,0.5,0.1,0.7,0.8,0.3,0,0.1,0,0,1.4
Wenyen Gabriel,25,10,0,3.7,0.4,1,0.4,0,0,,0.4,1,0.4,0.4,0.2,0.3,0.667,0.8,0.1,0.9,0,0.2,0.3,0.2,0.8,1
Shaquille Harrison,29,8,0,3.5,0.5,0.9,0.571,0.1,0.1,1,0.4,0.8,0.5,0.643,0.1,0.3,0.5,0,0.4,0.4,1.1,0.3,0,0,0.4,1.3
Mo Bamba,24,3,0,3.3,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,,0,1,1,0.3,0,0.3,0,0,0